date,station,location,totmiles,tripmiles,pricegal,tripgal,totcost,notes
05/04/89,ARCO,TACOMA,236,213.5,1,25,25,
05/09/89,ARCO,TACOMA,472.9,237,1,15.6,15.59,
05/14/89,EXXON,SEA-TAC,972.8,499.9,1,28.3,28.25,
05/18/89,ARCO,TACOMA,1188.9,216.1,1,4.8,4.8,
05/24/89,ARCO,TACOMA,1341.3,152.4,0.99,17.1,16.88,
05/30/89,ARCO,TACOMA,1630.8,289.5,0.98,13.5,13.21,
06/03/89,ARCO,TACOMA,1988.2,357.3,0.96,21.6,20.72,
06/15/89,ARCO,TACOMA,2446.9,458.7,0.95,26,24.67,
06/21/89,ARCO,TACOMA,2763.4,316.6,0.94,18.4,17.28,
07/03/89,ARCO,TACOMA,3168.3,404.9,0.94,24,22.54,
07/25/89,ARCO,TACOMA,3633.1,464.8,0.92,28.6,26.29,
08/05/89,ARCO,TACOMA,3977.1,344,0.9,18.9,17,
08/17/89,MIN IT LUBE,TACOMA,4323.6,N/A,,N/A,25.28,Oil change/lube
08/20/89,ARCO,TACOMA,4439.1,461,0.89,27,24,
08/28/89,ARCO,TACOMA,4751.7,312.5,0.86,18.4,15.81,
10/03/89,ARCO,TACOMA,5441.6,687,0.88,27.3,24.1,
10/05/89,ARCO,TACOMA,5534,92.5,0.87,7.9,9.2,
10/30/89,ARCO,TACOMA,5974.1,440,0.85,22.3,19,
11/06/89,ARCO,TACOMA,6464.5,930.5,0.84,30.2,25.54,
11/27/89,ARCO,FEDERAL WAY,7023.5,559,0.87,30.5,30.46,
12/19/89,ARCO,TACOMA,7425.6,402.1,0.84,23.8,20,
01/04/90,ARCO,TACOMA,8049.3,623.7,0.87,23,20,
01/08/90,COURTESY FORD,GIG HARBOR,8133,N/A,,N/A,17.97,7500 mile check up. New license holder.
01/08/90,COURTESY FORD,GIG HARBOR,8133,N/A,,N/A,7.98,New license holder
01/30/90,ARCO,TACOMA,8496.2,446.9,0.9,27.6,24.81,
02/12/90,ARCO,TACOMA,8690.3,194.2,0.92,12.6,11.58,
03/04/90,ARCO,TACOMA,9062,565.8,0.94,21.3,20,
03/31/90,ARCO,TACOMA,9307.3,245.3,0.92,14.2,13,
04/28/90,TEXACO,GIG HARBOR,9837.5,526.2,1.07,30.5,32.63,
05/20/90,ARCO,TACOMA,10283.3,445.8,1,13,13,
06/18/90,ARCO,TACOMA,10610.3,772.7,1.02,28.6,29.1,
07/22/90,TEXACO,GIG HARBOR,11204.1,593.8,1.17,31.3,36.61,
08/06/90,BP,SEA-TAC,11495.3,291.3,1.18,14.3,16.88,
09/02/90,TEXACO,GIG HARBOR,11920.5,425.2,1.29,23.1,29.77,
10/23/90,BP,SEA-TAC,12690.7,195.4,1.36,30.4,41.32,
12/01/90,ARCO,SEA-TAC,13207.2,516.5,1.37,28.9,39.5,
12/26/90,TEXACO,GIG HARBOR,N/A,N/A,1.5,25.6,38.4,
01/10/91,BP,SEA-TAC,14148.4,941.2,1.29,28,37.17,
02/03/91,BP,SEA-TAC,14457.7,305.3,1.2,16.7,20,
02/26/91,ARCO,TACOMA,14787.9,330.2,1.05,19.1,20,
03/28/91,ARCO,TACOMA,15296,508.1,1,29.6,29.54,
04/29/91,UN,TACOMA,16025.1,729.1,1.06,28.3,30,
05/30/91,BP,SEA-TAC,16674.1,649,1.15,17.6,20,
06/07/91,BP,SEA-TAC,16948.1,274,1.14,4.3,5,
06/09/91,BP,SEA-TAC,17039,90.9,1.15,8.4,10,
06/11/91,ARCO,PUYALLUP,17190.3,151.3,1.16,12.9,15,
06/20/91,BP,SEA-TAC,17679.3,488.9,1.09,28.5,31,
08/17/91,ARCO,N/A,18821.5,141.2,1.04,30.2,31.36,
10/29/91,EXXON,N/A,19439,617.9,1.02,14.8,15.66,
11/13/91,BP,SEA-TAC,19748.2,309,1.1,16.7,18.41,
12/12/91,EXXON,TACOMA,20104.2,356,1.06,20,21.18,
12/23/91,BP,SEA-TAC,20673.4,569.2,1.07,32.2,34.42,
01/07/92,CHEVRON,N/A,21343.7,670.3,1.18,28.8,32.25,
01/25/92,EXXON,TACOMA,21714.4,370.7,1,18.7,18.47,
04/06/92,TEXACO,GIG HARBOR,22230.4,516,1.13,8.2,10,
04/08/92,BP,SEA-TAC,22263.8,549.4,1.05,24.2,28.39,
05/17/92,CHEVRON,SEA-TAC,22818.2,553.1,1.21,30,36.27,
06/03/92,CHEVRON,SEA-TAC,23444.7,626.5,1.24,25.9,32.12,
06/30/92,CHEVRON,SEA-TAC,23693.1,248.5,1.25,12.1,15.12,
07/13/92,CHEVRON,SEA-TAC,24120.1,427,1.26,21.7,27.29,
08/17/92,CHEVRON,SEA-TAC,25139.2,1017.17,1.25,27,33.72,
09/19/92,CHEVRON,GIG HARBOR,25631.3,492.1,1.24,24.5,30.36,
10/13/92,CHEVRON,GIG HARBOR,26151.1,519.8,1.24,29.2,36.18,
11/07/92,CHEVRON,SEA-TAC,26619.6,468.5,1.23,24,29.55,
11/28/92,CHEVRON,SEA-TAC,27030.6,410.9,1.2,22.6,27.1,
12/28/92,CHEVRON,SEA-TAC,27510.6,480.1,1.18,28.3,33.37,
01/17/93,CHEVRON,SEA-TAC,28029,518.3,1.14,29.3,33.37,
02/27/93,CHEVRON,SEA-TAC,28463.5,434.5,1.06,24.8,26.26,
04/08/93,ARCO,TACOMA,29004.8,541.3,0.97,30.8,29.85,
04/20/93,CHEVRON,SEA-TAC,29285.5,280.7,1.09,15.2,16.55,
05/05/93,CHEVRON,SEA-TAC,29578,292.5,1.14,15.9,18.12,
05/13/93,CHEVRON,SEA-TAC,29864.2,285.6,1.16,15.6,18.09,
06/28/93,N/A,N/A,30499,267.2,1.16,14.7,17.92,
07/09/93,CHEVRON,SEA-TAC,30766.8,267.8,1.13,14.6,16.48,
07/12/93,CHEVRON,SEA-TAC,N/A,N/A,1.13,15.3,17.28,
08/13/93,ARCO,TACOMA,31644.1,302.8,1.06,N/A,16.25,
09/12/93,ARCO,TACOMA,31948.2,304.1,1.06,14.2,15,
10/02/93,BP,SEA-TAC,32213,264.8,1.22,16,19.5,
10/08/93,CHEVRON,SEA-TAC,32453.5,240.5,1.19,13.2,15.7,
10/22/93,ARCO,TACOMA,32719.2,265.7,1.11,14,15.53,
11/05/93,CHEVRON,SEA-TAC,33006.9,287.7,1.19,16,19.02,
11/16/93,BP,SEA-TAC,33251.7,244.6,1.18,15.7,16,
11/30/93,CHEVRON,SEA-TAC,33494.4,241.7,1.14,13.5,15.38,
12/19/93,CHEVRON,GIG HARBOR,33842.8,348.4,1.13,23,25.97,
01/08/94,ARCO,TACOMA,34337.2,494.3,1.03,28.2,29.02,
01/30/94,CHEVRON,SEA-TAC,34869.9,532.7,1.06,29,30.72,
02/08/94,ARCO,FIFE,35184,314.2,1,18,18,
02/24/94,N/A,N/A,71641.6,435.8,1.04,23.6,24.53,
03/12/94,CHEVRON,ANDERSENS,35933.2,304,1.09,17.4,18.95,
04/26/94,CHEVRON,ANDERSENS,36376.9,443.7,1.1,26,28.58,
05/16/94,CHEVRON,SEA-TAC,36944.9,567.9,1.16,29.5,34.19,
06/12/94,CHEVRON,ANDERSENS,37298.8,353.9,1.15,19,21.83,
07/06/94,CHEVRON,ANDERSENS,37633.9,335.1,1.15,17.5,20.11,
08/24/94,CHEVRON,ANDERSENS,37916.6,282.7,1.23,16.3,20.04,
09/14/94,CHEVRON,ANDERSENS,38506.1,589.4,1.34,30.7,41.11,
12/07/94,ARCO,N/A,38996.4,490.4,1.18,27.9,32.9,
12/23/94,CHEVRON,ANDERSENS,39401.3,404.9,1.23,14.2,17.45,
12/23/94,N/A,N/A,39390.9,-10.4,1.23,10.8,13.38,
01/04/95,CHEVRON,ANDERSENS,39951.6,64.6,1.23,19.8,24.39,
02/04/95,ARCO,N/A,40272.5,320.9,1.13,17.7,20,
02/23/95,CHEVRON,SEA-TAC,40454.5,273,1.18,17.8,21,
03/10/95,CHEVRON,SEA-TAC,40825.9,280.5,1.18,15.3,18.05,
04/02/95,CHEVRON,SEA-TAC,41102.5,272.3,1.18,16.4,19.34,
05/15/95,CHEVRON,SEA-TAC,41549.2,446.7,1.25,24.9,31.11,
05/31/95,CHEVRON,SEA-TAC,41958,405.9,1.28,20,25.59,
07/19/95,CHEVRON,SEA-TAC,42457.7,499.8,1.28,27.4,35.05,
08/15/95,CHEVRON,SEA-TAC,42954.3,495.5,1.28,26.2,33.52,
09/03/95,CHEVRON,SEA-TAC,43134.3,180,1.26,9,11.33,
09/06/95,CHEVRON,SEA-TAC,43223.8,89.6,1.25,21.4,25.46,
09/16/95,CHEVRON,YAKIMA,43749.3,525.5,1.19,28.6,34,
10/02/95,SAFE AX,MCCHORD,44140.8,391.6,1.19,21.4,25.46,
12/15/95,CHEVRON,ANDERSENS,44828.2,327.7,1.25,16,20.02,
12/30/95,CHEVRON,SEA-TAC,44999.4,171.1,1.24,12.9,15.98,
01/29/96,CHEVRON,ANDERSENS,45420.3,420.9,1.25,24.3,30.36,
02/19/96,CHEVRON,SEA-TAC,45770.8,350.5,1.19,21,24.97,
03/02/96,CHEVRON,SEA-TAC,45999.8,228.9,1.19,13.4,15.94,
03/17/96,CHEVRON,SEA-TAC,46284.6,284.8,1.2,15.8,18.95,
04/04/96,CHEVRON,SEA-TAC,46722.2,437.6,1.23,26,31.96,
04/12/96,CHEVRON,ANDERSENS,47102.8,380.6,1.3,18.5,24,
05/09/96,CHEVRON,ANDERSENS,47583.5,480.7,1.42,26.7,37.89,
05/14/96,CHEVRON,ANDERSENS,47778.5,195,1.44,8.3,N/A,
05/27/96,CHEVRON,ANDERSENS,48637.5,471,1.42,27,38.32,
05/31/96,CHEVRON,ANDERSENS,48166.5,388,1.45,22.7,32.89,
08/05/96,CHEVRON,SEA-TAC,49087,449.5,1.42,25.3,35.91,
08/31/96,N/A,N/A,49555.9,N/A,,7.1,10,
09/01/96,N/A,SEA-TAC,49594,501.5,1.36,20.2,27.45,
09/20/96,CHEVRON,ANDERSENS,49983.9,389.9,1.4,21.5,30.08,
10/07/96,N/A,SEA-TAC,50450.5,466.6,1.36,27,36.69,
10/24/96,CHEVRON,ANDERSENS,50904.3,453.3,1.36,28,38.05,
11/08/96,N/A,SEA-TAC,51351.9,447.9,1.32,23.4,30.87,
11/18/96,CHEVRON,ANDERSENS,51682,330.1,1.33,19.1,25.39,
11/30/96,N/A,SEA-TAC,51853.4,171.4,1.28,12,15.36,
12/10/96,CHEVRON,ANDERSENS,52279.5,425.4,1.29,25.9,33.39,
12/18/96,TEXACO,GIG HARBOR,52569.7,290.2,1.33,16.9,22.46,
01/03/97,CHEVRON,SEA-TAC,52895,325.4,1.26,19.2,24.17,
01/18/97,CHEVRON,SEA-TAC,53288.5,392.9,1.28,23.8,30.45,
02/12/97,CHEVRON,ANDERSENS,53756.6,458.2,1.29,27.6,35.58,
03/15/97,CHEVRON,SEA-TAC,54099.7,343.1,1.3,21.2,27.54,
03/25/97,CHEVRON,ANDERSENS,54466.7,367,1.3,21.5,27.94,
04/04/97,ARCO,TACOMA,54891.8,425.1,1.25,26,32.5,
04/20/97,ARCO,TACOMA,55271.8,380,1.26,19.9,25,
05/02/97,ARCO,TACOMA,55570.3,298.5,1.25,20,25,
05/20/97,ARCO,N/A,56030.2,459.6,1.24,26.4,32.69,
06/05/97,ARCO,N/A,56420.7,389.5,1.24,20.1,25,
06/07/97,CHEVRON,SEA-TAC,56562.5,141.8,1.3,3.8,5,
06/11/97,CHEVRON,ANDERSENS,56740.3,177.8,1.33,17.7,23.54,
06/24/97,CHEVRON,GIG HARBOR,57093.8,353.6,1.28,19.6,25.07,
06/28/97,CHEVRON,ANDERSENS,57346,252.2,1.26,12.9,16.25,
07/10/97,CHEVRON,GIG HARBOR,57803.2,455,1.28,25.8,33.01,
07/17/97,CHEVRON,ANDERSENS,58117.8,314.6,1.26,15.9,20.02,
07/31/97,CHEVRON,GIG HARBOR,58409.4,291.6,1.26,18,22.68,
08/19/97,CHEVRON,ANDERSENS,58887,477.6,1.27,25,31.73,
08/27/97,CHEVRON,GIG HARBOR,59056.3,169.2,1.3,10,13,
09/04/97,CHEVRON,GIG HARBOR,59240.7,184.4,1.34,11.4,15.24,
09/16/97,CHEVRON,GIG HARBOR,59551.7,310.9,1.36,13.8,18.76,
09/30/97,CHEVRON,GIG HARBOR,59873,320,1.36,21.8,29.64,
10/11/97,CHEVRON,GIG HARBOR,60217.5,344.6,1.36,18.2,24.78,
11/13/97,CHEVRON,SEA-TAC,60431.1,212.3,1.33,14.1,18.75,
11/25/97,CHEVRON,GIG HARBOR,60714.3,283.2,1.32,16.9,22.29,
12/10/97,CHEVRON,GIG HARBOR,60967.3,253,1.3,15.5,20.14,
12/20/97,CHEVRON,SEA-TAC,61388.3,421,1.26,25,31.48,
01/04/98,BP,SEA-TAC,61598,209.7,1.24,12.1,15,
01/29/98,CHEVRON,GIG HARBOR,61891.1,292.7,1.2,20,23.98,
02/12/98,CHEVRON,GIG HARBOR,62313.6,422.5,1.14,24.5,27.51,
02/27/98,ARCO,TACOMA,62623,309.5,0.98,18.4,18.02,
03/05/98,ARCO,TACOMA,62879,256,0.96,15.3,14.7,
03/13/98,ARCO,TACOMA,63228.9,349.9,0.94,10.6,10,
03/19/98,ARCO,TACOMA,63435.4,206.5,0.94,21.3,20,
04/04/98,ARCO,TACOMA,638438.9,408.5,0.98,20.4,20,
04/14/98,ARCO,TACOMA,64123.7,279,1,22.7,22.3,
04/27/98,CHEVRON,ANDERSENS,64487.3,363.6,1.05,21.8,22.87,
05/14/98,CHEVRON,ANDERSENS,64907,419.6,1.1,24.4,26.82,
05/29/98,ARCO,TACOMA,65240,333,1.08,13.9,15,
06/17/98,ARCO,TACOMA,65535,295,1.1,13.9,15,
06/22/98,N/A,AUBURN,65754,514.2,1.12,17.9,20,
06/24/98,N/A,AUBURN,66028.8,273.9,1.12,13.4,15,
07/06/98,ARCO,TACOMA,66481.7,452.9,1.06,29,30.75,
07/11/98,CHEVRON,GIG HARBOR,66754.3,272.7,1.14,16,18.23,
07/17/98,ARCO,SEA-TAC,67035.7,281.3,1.04,15.4,16,
07/25/98,ARCO,N/A,67454.7,419,1.07,23.4,25,
08/01/98,ARCO,GIG HARBOR,67864,409.2,1,23.8,23.79,
08/17/98,ARCO,GIG HARBOR,68386.8,522.9,1,24,24,
08/27/98,ARCO,GIG HARBOR,68605.7,218.8,1,19.1,19.13,
09/10/98,ARCO,GIG HARBOR,68889.7,284,1,12,12,
09/18/98,ARCO,GIG HARBOR,69090.7,201,1,12,12,
09/23/98,N/A,N/A,69230.3,139.6,1,15.3,15.25,
10/16/98,ARCO,UNIVERSITY PLACE,69551.2,320.8,1,20,20,
11/03/98,ARCO,TACOMA,69766.5,215.3,0.96,15.5,14.85,
12/01/98,N/A,N/A,70183.5,417,0.96,27.1,26,
12/07/98,ARCO,UNIVERSITY PLACE,70382.2,198.7,0.96,13.7,13.17,
12/14/98,ARCO,N/A,70601.1,218.8,0.94,10.4,10,
01/12/99,ARCO,TACOMA,70985.9,384.8,0.96,27.1,26,
01/20/99,ARCO,TACOMA,71205.7,219.8,0.94,14.4,13.5,
03/10/99,ARCO,FIFE,71953.8,312.3,0.94,21.3,20,
03/18/99,CHEVRON,ANDERSENS,72110.7,146.9,1.09,15.2,16.56,
04/09/99,CHEVRON,SEA-TAC,72602.4,491.7,1.44,28.5,41.01,
04/28/99,ARCO,SEA-TAC,72982.9,380.5,1.35,14.8,20,
05/19/99,CHEVRON,ANDERSENS,73348.9,366,1.37,29.5,40.39,
06/03/99,ARCO,GIG HARBOR,73686,337.1,1.28,20.3,26,
06/23/99,ARCO,SEA-TAC,74180.5,494.5,1.2,30.6,36.75,
06/27/99,CHEVRON,GIG HARBOR,74389.3,208.7,1.58,10.1,16,
07/25/99,CHEVRON,ANDERSENS,75103,713.7,1.3,27.7,36,
08/19/99,CHEVRON,ANDERSENS,75555.3,452.4,1.44,24.4,35.12,
09/05/99,CHEVRON,GIG HARBOR,75861,305.7,1.44,21.8,31.37,
10/06/99,CHEVRON,GIG HARBOR,76229,438,1.4,17.7,24.79,
10/14/99,CHEVRON,GIG HARBOR,76404,105,1.4,17.1,23.93,
11/08/99,CHEVRON,SEA-TAC,76771.4,472.3,1.34,23.3,31.2,
11/25/99,CHEVRON,ANDERSENS,77129.3,357.9,1.39,23.2,32.23,
12/09/99,CHEVRON,GIG HARBOR,77369.9,240.6,1.34,16.7,22.37,
12/30/99,UN,GIG HARBOR,77616,246,1.3,9,11.67,
01/13/00,UN,GIG HARBOR,77932.7,316.7,1.3,22.9,29.76,
02/02/00,ARCO,GIG HARBOR,78261.2,328.5,1.25,20.4,25.5,
02/17/00,UN,GIG HARBOR,78434.9,173.6,1.35,11.4,15.38,
03/06/00,BP,SEA-TAC,78792,357.2,1.5,22.8,34.19,
03/20/00,UN,GIG HARBOR,79070.3,278.3,1.58,18,28.44,
04/02/00,UN,GIG HARBOR,79440.6,370.3,1.6,24.5,39.18,
04/12/00,UN,GIG HARBOR,79793.3,352.7,1.6,20.6,32.92,
05/11/00,UN,GIG HARBOR,80059.5,266.2,1.58,18.3,28.9,
06/06/00,CHEVRON,ANDERSENS,80491.3,431.9,1.54,25.4,39.09,
06/13/00,CHEVRON,ANDERSENS,80673.9,182.6,1.54,10,15.39,
06/22/00,UN,GIG HARBOR,80960.9,287,1.52,16.8,25.53,
07/08/00,UN,GIG HARBOR,81244.4,279.3,1.56,19.6,30.56,2 pts gummout
07/31/00,CHEVRON,GIG HARBOR,81709.4,464.9,1.6,27.2,43.49,
09/05/00,CHEVRON,GIG HARBOR,82089.9,380.5,1.66,22.2,36.84,
09/23/00,UN,PUYALLUP,82478.5,388.6,1.68,23,38.26,
10/07/00,CHEVRON,ANDERSENS,82678,200.4,1.68,11.2,18.81,
10/14/00,CHEVRON,ANDERSENS,82898.7,219.8,1.68,15,25.18,
10/21/00,CHEVRON,N/A,83103.6,204.9,1.68,9.6,16.12,
11/02/00,COSTCO,TACOMA,83309.1,205.5,1.57,16.4,25.73,
11/16/00,N/A,N/A,83564.2,248.2,1.65,18.5,30.69,
11/28/00,COSTCO,TACOMA,83825.5,261.4,1.5,16.7,25.04,
12/11/00,COSTCO,TACOMA,84020.5,195,1.48,13.5,19.93,
01/08/01,COSTCO,TACOMA,84252.4,227.9,1.41,17,23.95,
01/20/01,N/A,N/A,84565.3,312.9,1.49,20.8,30.97,
02/10/01,76,GIG HARBOR,85016.5,451.2,1.48,28.2,41.72,
03/22/01,COSTCO,TACOMA,85415.8,399.3,1.37,23,31.9,
03/28/01,TEXACO,GIG HARBOR,85620,194.2,1.52,13.1,19.9,
04/05/01,COSTCO,TACOMA,85951.9,331.9,1.37,20.9,28.61,New Sears diehard battery
04/26/01,COSTCO,TACOMA,86346.3,394.5,1.37,23,31.9,
05/17/01,COSTCO,TACOMA,86698.4,350.9,1.37,18.3,25.6,
05/29/01,COSTCO,TACOMA,87099.5,401.1,1.48,26.8,39.64,
06/13/01,COSTCO,TACOMA,87448.2,348.7,1.49,12.7,18.92,Oil service
06/19/01,CHEVRON,ANDERSENS,87738.5,290.2,1.56,16.8,26.19,
06/29/01,COSTCO,TACOMA,88145.3,406.8,1.43,21.1,30.16,
07/17/01,ARCO,TACOMA,88372.5,227.2,1.38,14.5,20,
08/06/01,COSTCO,TACOMA,88789,416.5,1.3,24.2,34.1,Fuel injector cleaner
08/14/01,COSTCO,TACOMA,88996.6,207.6,1.29,11.2,14.44,
08/27/01,COSTCO,TACOMA,89304.5,308,1.32,18.2,24.01,
09/15/01,UN,GIG HARBOR,89623.2,316,1.6,20.5,32.79,
09/25/01,COSTCO,TACOMA,89914.7,291.5,1.5,16.1,24.13,Rotate tires - Jiffy Lube. Oil Change - Jiffy Lube.
10/11/01,COSTCO,TACOMA,90216.7,298,1.4,19.8,27.7,
11/13/01,COSTCO,TACOMA,90573.2,356.6,1.23,21.3,26.15,
12/31/01,N/A,N/A,90669.9,N/A,,N/A,N/A,
02/26/02,N/A,GIG HARBOR,90867.8,294.5,1.1,19.5,21.4,
03/30/02,ARCO,TACOMA,91304.8,437,1.26,28.3,30,
04/24/02,N/A,GIG HARBOR,91584.3,279.5,1.39,19.4,26.95,
05/20/02,CHEVRON,GIG HARBOR,92020.1,435.7,1.36,28,38.05,
05/21/02,COURTESY FORD,GIG HARBOR,92031.2,,,,,Oil Change
